name,category,title,description,date,
,사회,교육기본법 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-04-22,교육기본법
,경제,전기통신사업법 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-04-21,전기통신사업
,민생,미세먼지로부터 국민건강 보호를 위한 대책 촉구 결의안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-04-17,미세먼지
,경제,중소기업제품 구매촉진 및 판로지원에 관한 법률 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-04-15,중소기업제품
,민생,가족관계의 등록 등에 관한 법률 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-04-15,가족관계 등록
,민생,수산생물질병 관리법 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-04-14,수산생물질병
,사회,해양환경관리법 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-04-14,해양환경관리법
,경제,도선법 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-04-14,도선법
,민생,청소년 기본법 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-04-13,청소년 기본법
,민생,모자보건법 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-04-10,모자보건법
,외교,일본의 독도 도발 중학교 교과서 검정 승인 취소 촉구 결의안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-04-09,일본 독도 교과서
,경제,청년고용촉진 특별법 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-04-09,청년고용촉진
,민생,세월호 선체의 온전한 인양을 촉구하는 결의안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-04-07,세월호
,경제,공정임대료법안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-04-06,공정임대료
,복지,노인복지법 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-04-03,노인복지법
,정치,월성1호기·고리1호기 수명연장 검증 특별위원회 구성결의안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-03-25,월성
,정치,법원조직법 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-02-09,법원조직법
,경제,공인노무사법 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-02-05,공인노무사법
,경제,공인노무사법 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-02-02,공인노부사법
,사회,공연법 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-01-19,공연법
,경제,게임산업진흥에 관한 법률 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-01-19,게임산업진흥
